	date	store	item	sales
227	2013-08-16	1	1	15
228	2013-08-17	1	1	29
229	2013-08-18	1	1	27
230	2013-08-19	1	1	11
231	2013-08-20	1	1	15
232	2013-08-21	1	1	20
233	2013-08-22	1	1	20
234	2013-08-23	1	1	19
235	2013-08-24	1	1	19
236	2013-08-25	1	1	23
237	2013-08-26	1	1	11
238	2013-08-27	1	1	16
239	2013-08-28	1	1	20
240	2013-08-29	1	1	14
241	2013-08-30	1	1	20
242	2013-08-31	1	1	25
243	2013-09-01	1	1	25
244	2013-09-02	1	1	10
245	2013-09-03	1	1	16
246	2013-09-04	1	1	10
247	2013-09-05	1	1	16
248	2013-09-06	1	1	20
249	2013-09-07	1	1	20
250	2013-09-08	1	1	19
251	2013-09-09	1	1	15
252	2013-09-10	1	1	17
253	2013-09-11	1	1	26
254	2013-09-12	1	1	14
255	2013-09-13	1	1	16
256	2013-09-14	1	1	27
257	2013-09-15	1	1	14
258	2013-09-16	1	1	16
259	2013-09-17	1	1	20
260	2013-09-18	1	1	18
261	2013-09-19	1	1	16
262	2013-09-20	1	1	11
263	2013-09-21	1	1	13
264	2013-09-22	1	1	16
265	2013-09-23	1	1	18
266	2013-09-24	1	1	14
267	2013-09-25	1	1	17
268	2013-09-26	1	1	20
269	2013-09-27	1	1	22
270	2013-09-28	1	1	13
271	2013-09-29	1	1	20
272	2013-09-30	1	1	20
273	2013-10-01	1	1	12
274	2013-10-02	1	1	11
275	2013-10-03	1	1	14
276	2013-10-04	1	1	14
277	2013-10-05	1	1	14
278	2013-10-06	1	1	20
279	2013-10-07	1	1	13
280	2013-10-08	1	1	13
281	2013-10-09	1	1	14
282	2013-10-10	1	1	20
283	2013-10-11	1	1	17
284	2013-10-12	1	1	17
285	2013-10-13	1	1	20
286	2013-10-14	1	1	15
287	2013-10-15	1	1	15
288	2013-10-16	1	1	15
289	2013-10-17	1	1	10
290	2013-10-18	1	1	10
291	2013-10-19	1	1	18
292	2013-10-20	1	1	25
293	2013-10-21	1	1	13
294	2013-10-22	1	1	11
295	2013-10-23	1	1	16
296	2013-10-24	1	1	17
297	2013-10-25	1	1	18
298	2013-10-26	1	1	19
299	2013-10-27	1	1	14
300	2013-10-28	1	1	11
301	2013-10-29	1	1	17
302	2013-10-30	1	1	20
303	2013-10-31	1	1	21
304	2013-11-01	1	1	20
305	2013-11-02	1	1	24
306	2013-11-03	1	1	19
307	2013-11-04	1	1	12
308	2013-11-05	1	1	20
309	2013-11-06	1	1	16
310	2013-11-07	1	1	17
311	2013-11-08	1	1	22
312	2013-11-09	1	1	18
313	2013-11-10	1	1	23
314	2013-11-11	1	1	16
315	2013-11-12	1	1	20
316	2013-11-13	1	1	20
317	2013-11-14	1	1	9
318	2013-11-15	1	1	18
319	2013-11-16	1	1	13
320	2013-11-17	1	1	17
321	2013-11-18	1	1	17
322	2013-11-19	1	1	18
323	2013-11-20	1	1	17
324	2013-11-21	1	1	16
325	2013-11-22	1	1	17
326	2013-11-23	1	1	31
327	2013-11-24	1	1	20
328	2013-11-25	1	1	16
329	2013-11-26	1	1	25
330	2013-11-27	1	1	25
331	2013-11-28	1	1	17
332	2013-11-29	1	1	19
333	2013-11-30	1	1	30
334	2013-12-01	1	1	16
335	2013-12-02	1	1	8
336	2013-12-03	1	1	21
337	2013-12-04	1	1	6
338	2013-12-05	1	1	13
339	2013-12-06	1	1	15
340	2013-12-07	1	1	17
341	2013-12-08	1	1	17
342	2013-12-09	1	1	8
343	2013-12-10	1	1	14
344	2013-12-11	1	1	7
345	2013-12-12	1	1	5
346	2013-12-13	1	1	13
347	2013-12-14	1	1	16
348	2013-12-15	1	1	15
349	2013-12-16	1	1	15
350	2013-12-17	1	1	8
351	2013-12-18	1	1	18
352	2013-12-19	1	1	7
353	2013-12-20	1	1	13
354	2013-12-21	1	1	11
355	2013-12-22	1	1	9
356	2013-12-23	1	1	8
357	2013-12-24	1	1	17
358	2013-12-25	1	1	6
359	2013-12-26	1	1	16
360	2013-12-27	1	1	18
361	2013-12-28	1	1	17
362	2013-12-29	1	1	14
363	2013-12-30	1	1	5
364	2013-12-31	1	1	15
365	2014-01-01	1	1	9
366	2014-01-02	1	1	14
367	2014-01-03	1	1	11
368	2014-01-04	1	1	20
369	2014-01-05	1	1	17
370	2014-01-06	1	1	14
371	2014-01-07	1	1	11
372	2014-01-08	1	1	12
373	2014-01-09	1	1	17
374	2014-01-10	1	1	12
375	2014-01-11	1	1	17
376	2014-01-12	1	1	12
377	2014-01-13	1	1	12
378	2014-01-14	1	1	17
379	2014-01-15	1	1	17
380	2014-01-16	1	1	15
381	2014-01-17	1	1	18
382	2014-01-18	1	1	15
383	2014-01-19	1	1	12
384	2014-01-20	1	1	6
385	2014-01-21	1	1	7
386	2014-01-22	1	1	21
387	2014-01-23	1	1	18
388	2014-01-24	1	1	18
389	2014-01-25	1	1	21
390	2014-01-26	1	1	16
391	2014-01-27	1	1	8
392	2014-01-28	1	1	6
393	2014-01-29	1	1	13
394	2014-01-30	1	1	11
395	2014-01-31	1	1	18
396	2014-02-01	1	1	13
397	2014-02-02	1	1	16
398	2014-02-03	1	1	10
399	2014-02-04	1	1	9
400	2014-02-05	1	1	21
401	2014-02-06	1	1	17
402	2014-02-07	1	1	15
403	2014-02-08	1	1	15
404	2014-02-09	1	1	18
405	2014-02-10	1	1	10
406	2014-02-11	1	1	10
407	2014-02-12	1	1	9
408	2014-02-13	1	1	22
409	2014-02-14	1	1	20
410	2014-02-15	1	1	20
411	2014-02-16	1	1	13
412	2014-02-17	1	1	11
413	2014-02-18	1	1	11
414	2014-02-19	1	1	16
415	2014-02-20	1	1	19
416	2014-02-21	1	1	16
417	2014-02-22	1	1	17
418	2014-02-23	1	1	13
419	2014-02-24	1	1	7
420	2014-02-25	1	1	14
421	2014-02-26	1	1	17
422	2014-02-27	1	1	10
423	2014-02-28	1	1	16
424	2014-03-01	1	1	20
425	2014-03-02	1	1	15
426	2014-03-03	1	1	12
427	2014-03-04	1	1	11
428	2014-03-05	1	1	18
429	2014-03-06	1	1	19
430	2014-03-07	1	1	21
431	2014-03-08	1	1	14
432	2014-03-09	1	1	21
433	2014-03-10	1	1	13
434	2014-03-11	1	1	14
435	2014-03-12	1	1	24
436	2014-03-13	1	1	17
437	2014-03-14	1	1	16
438	2014-03-15	1	1	22
439	2014-03-16	1	1	31
440	2014-03-17	1	1	19
441	2014-03-18	1	1	17
442	2014-03-19	1	1	24
443	2014-03-20	1	1	21
444	2014-03-21	1	1	18
445	2014-03-22	1	1	20
446	2014-03-23	1	1	25
447	2014-03-24	1	1	4
448	2014-03-25	1	1	15
449	2014-03-26	1	1	17
450	2014-03-27	1	1	17
451	2014-03-28	1	1	16
452	2014-03-29	1	1	18
453	2014-03-30	1	1	15
454	2014-03-31	1	1	15
455	2014-04-01	1	1	19
456	2014-04-02	1	1	11
457	2014-04-03	1	1	16
458	2014-04-04	1	1	17
459	2014-04-05	1	1	21
460	2014-04-06	1	1	26
461	2014-04-07	1	1	19
462	2014-04-08	1	1	19
463	2014-04-09	1	1	20
464	2014-04-10	1	1	18
465	2014-04-11	1	1	23
466	2014-04-12	1	1	19
467	2014-04-13	1	1	22
468	2014-04-14	1	1	20
469	2014-04-15	1	1	22
470	2014-04-16	1	1	20
471	2014-04-17	1	1	18
472	2014-04-18	1	1	20
473	2014-04-19	1	1	22
474	2014-04-20	1	1	22
475	2014-04-21	1	1	17
476	2014-04-22	1	1	12
477	2014-04-23	1	1	16
478	2014-04-24	1	1	25
479	2014-04-25	1	1	22
480	2014-04-26	1	1	21
481	2014-04-27	1	1	20
482	2014-04-28	1	1	15
483	2014-04-29	1	1	18
484	2014-04-30	1	1	13
485	2014-05-01	1	1	22
486	2014-05-02	1	1	19
487	2014-05-03	1	1	22
488	2014-05-04	1	1	23
489	2014-05-05	1	1	21
490	2014-05-06	1	1	19
491	2014-05-07	1	1	21
492	2014-05-08	1	1	15
493	2014-05-09	1	1	18
494	2014-05-10	1	1	16
495	2014-05-11	1	1	27
496	2014-05-12	1	1	16
497	2014-05-13	1	1	22
498	2014-05-14	1	1	21
499	2014-05-15	1	1	22
500	2014-05-16	1	1	23
501	2014-05-17	1	1	18
502	2014-05-18	1	1	36
503	2014-05-19	1	1	12
504	2014-05-20	1	1	23
505	2014-05-21	1	1	16
506	2014-05-22	1	1	25
507	2014-05-23	1	1	28
508	2014-05-24	1	1	25
509	2014-05-25	1	1	20
510	2014-05-26	1	1	15
511	2014-05-27	1	1	13
512	2014-05-28	1	1	13
513	2014-05-29	1	1	20
514	2014-05-30	1	1	29
515	2014-05-31	1	1	31
516	2014-06-01	1	1	24
517	2014-06-02	1	1	16
518	2014-06-03	1	1	23
519	2014-06-04	1	1	20
520	2014-06-05	1	1	24
521	2014-06-06	1	1	23
522	2014-06-07	1	1	27
523	2014-06-08	1	1	29
524	2014-06-09	1	1	18
525	2014-06-10	1	1	14
526	2014-06-11	1	1	22
527	2014-06-12	1	1	22
528	2014-06-13	1	1	25
529	2014-06-14	1	1	29
530	2014-06-15	1	1	33
531	2014-06-16	1	1	25
532	2014-06-17	1	1	32
533	2014-06-18	1	1	20
534	2014-06-19	1	1	22
535	2014-06-20	1	1	19
536	2014-06-21	1	1	26
537	2014-06-22	1	1	37
538	2014-06-23	1	1	19
539	2014-06-24	1	1	24
540	2014-06-25	1	1	21
541	2014-06-26	1	1	18
542	2014-06-27	1	1	29
543	2014-06-28	1	1	34
544	2014-06-29	1	1	19
545	2014-06-30	1	1	16
546	2014-07-01	1	1	16
547	2014-07-02	1	1	24
548	2014-07-03	1	1	25
549	2014-07-04	1	1	28
550	2014-07-05	1	1	25
551	2014-07-06	1	1	34
552	2014-07-07	1	1	16
553	2014-07-08	1	1	25
554	2014-07-09	1	1	27
555	2014-07-10	1	1	23
556	2014-07-11	1	1	25
557	2014-07-12	1	1	22
558	2014-07-13	1	1	24
559	2014-07-14	1	1	21
560	2014-07-15	1	1	24
561	2014-07-16	1	1	17
562	2014-07-17	1	1	26
563	2014-07-18	1	1	25
564	2014-07-19	1	1	31
565	2014-07-20	1	1	26
566	2014-07-21	1	1	21
567	2014-07-22	1	1	30
568	2014-07-23	1	1	19
569	2014-07-24	1	1	26
570	2014-07-25	1	1	24
571	2014-07-26	1	1	29
572	2014-07-27	1	1	35
573	2014-07-28	1	1	11
574	2014-07-29	1	1	19
575	2014-07-30	1	1	25
576	2014-07-31	1	1	23
577	2014-08-01	1	1	12
578	2014-08-02	1	1	23
579	2014-08-03	1	1	27
580	2014-08-04	1	1	20
581	2014-08-05	1	1	19
582	2014-08-06	1	1	25
583	2014-08-07	1	1	21
584	2014-08-08	1	1	27
585	2014-08-09	1	1	27
586	2014-08-10	1	1	22
587	2014-08-11	1	1	22
588	2014-08-12	1	1	20
589	2014-08-13	1	1	11
590	2014-08-14	1	1	17
591	2014-08-15	1	1	21
592	2014-08-16	1	1	20
593	2014-08-17	1	1	31
594	2014-08-18	1	1	25
595	2014-08-19	1	1	15
596	2014-08-20	1	1	21
597	2014-08-21	1	1	20
598	2014-08-22	1	1	21
599	2014-08-23	1	1	26
600	2014-08-24	1	1	26
601	2014-08-25	1	1	12
602	2014-08-26	1	1	25
603	2014-08-27	1	1	21
604	2014-08-28	1	1	19
605	2014-08-29	1	1	17
606	2014-08-30	1	1	30
607	2014-08-31	1	1	28
608	2014-09-01	1	1	16
609	2014-09-02	1	1	15
610	2014-09-03	1	1	22
611	2014-09-04	1	1	26
612	2014-09-05	1	1	27
613	2014-09-06	1	1	21
614	2014-09-07	1	1	25
615	2014-09-08	1	1	12
616	2014-09-09	1	1	22
617	2014-09-10	1	1	16
618	2014-09-11	1	1	15
619	2014-09-12	1	1	25
620	2014-09-13	1	1	17
621	2014-09-14	1	1	26
622	2014-09-15	1	1	12
623	2014-09-16	1	1	15
624	2014-09-17	1	1	17
625	2014-09-18	1	1	18
626	2014-09-19	1	1	21
627	2014-09-20	1	1	21
628	2014-09-21	1	1	20
629	2014-09-22	1	1	15
630	2014-09-23	1	1	20
631	2014-09-24	1	1	14
632	2014-09-25	1	1	17
633	2014-09-26	1	1	23
634	2014-09-27	1	1	13
635	2014-09-28	1	1	22
636	2014-09-29	1	1	18
637	2014-09-30	1	1	15
638	2014-10-01	1	1	12
639	2014-10-02	1	1	15
640	2014-10-03	1	1	24
641	2014-10-04	1	1	27
642	2014-10-05	1	1	33
643	2014-10-06	1	1	9
644	2014-10-07	1	1	10
645	2014-10-08	1	1	25
646	2014-10-09	1	1	18
647	2014-10-10	1	1	19
648	2014-10-11	1	1	28
649	2014-10-12	1	1	29
650	2014-10-13	1	1	6
651	2014-10-14	1	1	20
652	2014-10-15	1	1	21
653	2014-10-16	1	1	17
654	2014-10-17	1	1	18
655	2014-10-18	1	1	22
656	2014-10-19	1	1	13
657	2014-10-20	1	1	8
658	2014-10-21	1	1	19
659	2014-10-22	1	1	14
660	2014-10-23	1	1	18
661	2014-10-24	1	1	17
662	2014-10-25	1	1	21
663	2014-10-26	1	1	22
664	2014-10-27	1	1	15
665	2014-10-28	1	1	12
666	2014-10-29	1	1	11
667	2014-10-30	1	1	12
668	2014-10-31	1	1	20
669	2014-11-01	1	1	17
670	2014-11-02	1	1	33
671	2014-11-03	1	1	16
672	2014-11-04	1	1	16
673	2014-11-05	1	1	15
674	2014-11-06	1	1	22
675	2014-11-07	1	1	22
676	2014-11-08	1	1	12
677	2014-11-09	1	1	28
678	2014-11-10	1	1	16
679	2014-11-11	1	1	12
680	2014-11-12	1	1	18
681	2014-11-13	1	1	18
682	2014-11-14	1	1	25
683	2014-11-15	1	1	24
684	2014-11-16	1	1	18
685	2014-11-17	1	1	17
686	2014-11-18	1	1	18
687	2014-11-19	1	1	19
688	2014-11-20	1	1	17
689	2014-11-21	1	1	28
690	2014-11-22	1	1	20
691	2014-11-23	1	1	29
692	2014-11-24	1	1	18
693	2014-11-25	1	1	19
694	2014-11-26	1	1	23
695	2014-11-27	1	1	23
696	2014-11-28	1	1	24
697	2014-11-29	1	1	28
698	2014-11-30	1	1	24
699	2014-12-01	1	1	10
700	2014-12-02	1	1	17
701	2014-12-03	1	1	9
702	2014-12-04	1	1	10
703	2014-12-05	1	1	14
704	2014-12-06	1	1	16
705	2014-12-07	1	1	11
706	2014-12-08	1	1	13
707	2014-12-09	1	1	13
708	2014-12-10	1	1	14
709	2014-12-11	1	1	12
710	2014-12-12	1	1	10
711	2014-12-13	1	1	16
712	2014-12-14	1	1	13
713	2014-12-15	1	1	14
714	2014-12-16	1	1	11
715	2014-12-17	1	1	15
716	2014-12-18	1	1	10
717	2014-12-19	1	1	11
718	2014-12-20	1	1	19
719	2014-12-21	1	1	18
720	2014-12-22	1	1	8
721	2014-12-23	1	1	13
722	2014-12-24	1	1	16
723	2014-12-25	1	1	20
724	2014-12-26	1	1	12
725	2014-12-27	1	1	15
726	2014-12-28	1	1	17
727	2014-12-29	1	1	9
728	2014-12-30	1	1	11
729	2014-12-31	1	1	12
730	2015-01-01	1	1	11
731	2015-01-02	1	1	19
732	2015-01-03	1	1	16
733	2015-01-04	1	1	14
734	2015-01-05	1	1	14
735	2015-01-06	1	1	9
736	2015-01-07	1	1	13
737	2015-01-08	1	1	18
738	2015-01-09	1	1	18
739	2015-01-10	1	1	17
740	2015-01-11	1	1	19
741	2015-01-12	1	1	9
742	2015-01-13	1	1	9
743	2015-01-14	1	1	15
744	2015-01-15	1	1	10
745	2015-01-16	1	1	15
746	2015-01-17	1	1	16
747	2015-01-18	1	1	15
748	2015-01-19	1	1	12
749	2015-01-20	1	1	12
750	2015-01-21	1	1	10
751	2015-01-22	1	1	8
752	2015-01-23	1	1	14
753	2015-01-24	1	1	20
754	2015-01-25	1	1	19
755	2015-01-26	1	1	12
756	2015-01-27	1	1	13
757	2015-01-28	1	1	13
758	2015-01-29	1	1	7
759	2015-01-30	1	1	12
760	2015-01-31	1	1	19
761	2015-02-01	1	1	17
762	2015-02-02	1	1	6
763	2015-02-03	1	1	10
764	2015-02-04	1	1	8
765	2015-02-05	1	1	18
766	2015-02-06	1	1	13
767	2015-02-07	1	1	13
768	2015-02-08	1	1	18
769	2015-02-09	1	1	12
770	2015-02-10	1	1	15
771	2015-02-11	1	1	19
772	2015-02-12	1	1	15
773	2015-02-13	1	1	13
774	2015-02-14	1	1	11
775	2015-02-15	1	1	18
776	2015-02-16	1	1	14
777	2015-02-17	1	1	16
778	2015-02-18	1	1	16
779	2015-02-19	1	1	11
780	2015-02-20	1	1	10
781	2015-02-21	1	1	19
782	2015-02-22	1	1	24
783	2015-02-23	1	1	9
784	2015-02-24	1	1	8
785	2015-02-25	1	1	13
786	2015-02-26	1	1	18
787	2015-02-27	1	1	17
788	2015-02-28	1	1	18
789	2015-03-01	1	1	18
790	2015-03-02	1	1	17
791	2015-03-03	1	1	14
792	2015-03-04	1	1	19
793	2015-03-05	1	1	10
794	2015-03-06	1	1	17
795	2015-03-07	1	1	16
796	2015-03-08	1	1	13
797	2015-03-09	1	1	13
798	2015-03-10	1	1	23
799	2015-03-11	1	1	21
800	2015-03-12	1	1	24
801	2015-03-13	1	1	25
802	2015-03-14	1	1	15
803	2015-03-15	1	1	20
804	2015-03-16	1	1	13
805	2015-03-17	1	1	15
806	2015-03-18	1	1	16
807	2015-03-19	1	1	17
808	2015-03-20	1	1	31
809	2015-03-21	1	1	25
810	2015-03-22	1	1	23
811	2015-03-23	1	1	16
812	2015-03-24	1	1	18
813	2015-03-25	1	1	13
814	2015-03-26	1	1	10
815	2015-03-27	1	1	16
816	2015-03-28	1	1	12
817	2015-03-29	1	1	25
818	2015-03-30	1	1	19
819	2015-03-31	1	1	18
820	2015-04-01	1	1	24
821	2015-04-02	1	1	20
822	2015-04-03	1	1	27
823	2015-04-04	1	1	26
824	2015-04-05	1	1	20
825	2015-04-06	1	1	20
826	2015-04-07	1	1	19
827	2015-04-08	1	1	17
828	2015-04-09	1	1	20
829	2015-04-10	1	1	24
830	2015-04-11	1	1	17
831	2015-04-12	1	1	21
832	2015-04-13	1	1	14
833	2015-04-14	1	1	26
834	2015-04-15	1	1	26
835	2015-04-16	1	1	20
836	2015-04-17	1	1	22
837	2015-04-18	1	1	23
838	2015-04-19	1	1	24
839	2015-04-20	1	1	17
840	2015-04-21	1	1	25
841	2015-04-22	1	1	19
842	2015-04-23	1	1	17
843	2015-04-24	1	1	11
844	2015-04-25	1	1	29
845	2015-04-26	1	1	30
846	2015-04-27	1	1	22
847	2015-04-28	1	1	27
848	2015-04-29	1	1	18
849	2015-04-30	1	1	27
850	2015-05-01	1	1	20
851	2015-05-02	1	1	22
852	2015-05-03	1	1	33
853	2015-05-04	1	1	14
854	2015-05-05	1	1	25
855	2015-05-06	1	1	13
856	2015-05-07	1	1	23
857	2015-05-08	1	1	22
858	2015-05-09	1	1	29
859	2015-05-10	1	1	29
860	2015-05-11	1	1	24
861	2015-05-12	1	1	21
862	2015-05-13	1	1	14
863	2015-05-14	1	1	17
864	2015-05-15	1	1	27
865	2015-05-16	1	1	31
866	2015-05-17	1	1	27
867	2015-05-18	1	1	11
868	2015-05-19	1	1	28
869	2015-05-20	1	1	17
870	2015-05-21	1	1	27
871	2015-05-22	1	1	22
872	2015-05-23	1	1	24
873	2015-05-24	1	1	27
874	2015-05-25	1	1	19
875	2015-05-26	1	1	19
876	2015-05-27	1	1	22
877	2015-05-28	1	1	23
878	2015-05-29	1	1	18
879	2015-05-30	1	1	36
880	2015-05-31	1	1	27
881	2015-06-01	1	1	23
882	2015-06-02	1	1	15
883	2015-06-03	1	1	23
884	2015-06-04	1	1	25
885	2015-06-05	1	1	18
886	2015-06-06	1	1	43
887	2015-06-07	1	1	22
888	2015-06-08	1	1	18
889	2015-06-09	1	1	19
890	2015-06-10	1	1	22
891	2015-06-11	1	1	29
892	2015-06-12	1	1	23
893	2015-06-13	1	1	28
894	2015-06-14	1	1	30
895	2015-06-15	1	1	19
896	2015-06-16	1	1	17
897	2015-06-17	1	1	28
898	2015-06-18	1	1	29
899	2015-06-19	1	1	20
900	2015-06-20	1	1	30
901	2015-06-21	1	1	34
902	2015-06-22	1	1	14
903	2015-06-23	1	1	27
904	2015-06-24	1	1	26
905	2015-06-25	1	1	21
906	2015-06-26	1	1	30
907	2015-06-27	1	1	31
908	2015-06-28	1	1	35
909	2015-06-29	1	1	26
910	2015-06-30	1	1	23
911	2015-07-01	1	1	21
912	2015-07-02	1	1	26
913	2015-07-03	1	1	30
914	2015-07-04	1	1	40
915	2015-07-05	1	1	30
916	2015-07-06	1	1	20
917	2015-07-07	1	1	24
918	2015-07-08	1	1	21
919	2015-07-09	1	1	33
920	2015-07-10	1	1	26
921	2015-07-11	1	1	30
922	2015-07-12	1	1	19
923	2015-07-13	1	1	22
924	2015-07-14	1	1	19
925	2015-07-15	1	1	20
926	2015-07-16	1	1	41
927	2015-07-17	1	1	31
928	2015-07-18	1	1	38
929	2015-07-19	1	1	38
930	2015-07-20	1	1	22
931	2015-07-21	1	1	29
